technode, 22, toggleindex, 0, mem cell type, 1, buffernumber, 0, toggle index, 0, Totalsubarray operations, 817148, Average macro dynamic energy, 1.87719e-10, 1 Macro delay, 4.2692e-08, 1 Macro area (mm^2), 0.0198763, TOPS, 0.767544, TOPS/W, 174.559, TOPS/mm^2, 38.616, FOM, 6740.77, Total macro leakage, 3.92481e-07, Total DCIM (NOR+Latch) array leakage, 0, SRAM_peri_leakage, 0, ShiftAdd_leakage, 0, Adder_leakage, 0, Buffer_leakage, 0, Switchmatrix_leakage, 0, Repeater_leakage, 0, Bus_leakage, 5.2186e-08, readDynamicEnergyBuffer, 0, readDynamicEnergyShiftAdd, 0, readDynamicEnergyAccum, 3.45764e-12, readDynamicEnergySwitchmatrix, 0, readDynamicEnergyAdder, 0, readDynamicEnergyInterconnect, 0, readDynamicEnergyADC, 3.76153e-11, readDynamicEnergyDFFinShiftAdd, 0, DCIM_energy_recalculated, 1, DC_ADC_min, 2.66027e-14, DC_ADC_max, 2.79006e-14, Switching_ADC, 5.89802e-14, NOR_delay, 0, addertree_delay, 0, addedbufferlatency, 0, encoder_delay, 1.47597e-10, WL_delay, 1.3763e-10, mux_delay, 1.3763e-10, row_delay, 2.03196e-11, precharge_delay, 6.69601e-11, col_delay, 2.01368e-10, ADC_delay, 0, multisense_delay, 9.81937e-10, clock_period, 1.33412e-09, param->capNORInput, 0, param->capNOROutput, 0, param->DCIMline_R2, 0, param->DCIMline_R1, 0, param->DCIMline_C2, 0, param->DCIMline_C1, 0, param->resRow_DCIM, 0, param->resCol_DCIM, 0, param->Metal0_unitwireresis, 9.76974e+06, param->Metal1_unitwireresis, 9.76974e+06, columncap, 1.92007e-14, rowunitcap, 1.232e-16, caprow_debug, 3.95918e-14, numrow_debug, 256, reference_energy_peri, 2.86051e-14, resaccess, 86357.3, param->lengthRow, 0.000157696, TOPS, 0.767544, TOPS/W, 174.559, TOPS/mm^2, 38.616, FOM, 6740.77, buffersizeratio, 5, switchsizeratio_DCIM, 0.06, sectionresistance, 1540.65, switchmatrix_finnum, 31.6681, finfetonresistance, 77.0324, repeaterfinnum, 0, repeaterdriveres, 0, sizingfactor_MUX, 110, sizingfactor_MUX_Last, 110, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 14, capratio, 0.10124. Power Density (W/mm2), 180770, 
technode, 14, toggleindex, 0, mem cell type, 1, buffernumber, 0, toggle index, 0, Totalsubarray operations, 817148, Average macro dynamic energy, 1.469e-10, 1 Macro delay, 3.95062e-08, 1 Macro area (mm^2), 0.0122402, TOPS, 0.829439, TOPS/W, 223.064, TOPS/mm^2, 67.7635, FOM, 15115.6, Total macro leakage, 1.14184e-06, Total DCIM (NOR+Latch) array leakage, 0, SRAM_peri_leakage, 0, ShiftAdd_leakage, 0, Adder_leakage, 0, Buffer_leakage, 0, Switchmatrix_leakage, 0, Repeater_leakage, 0, Bus_leakage, 8.95887e-08, readDynamicEnergyBuffer, 0, readDynamicEnergyShiftAdd, 0, readDynamicEnergyAccum, 2.07296e-12, readDynamicEnergySwitchmatrix, 0, readDynamicEnergyAdder, 0, readDynamicEnergyInterconnect, 0, readDynamicEnergyADC, 2.95228e-11, readDynamicEnergyDFFinShiftAdd, 0, DCIM_energy_recalculated, 1, DC_ADC_min, 1.44657e-15, DC_ADC_max, 1.45925e-15, Switching_ADC, 5.50663e-14, NOR_delay, 0, addertree_delay, 0, addedbufferlatency, 0, encoder_delay, 1.50307e-10, WL_delay, 1.26867e-10, mux_delay, 1.26867e-10, row_delay, 1.49422e-11, precharge_delay, 7.72074e-11, col_delay, 5.54476e-11, ADC_delay, 0, multisense_delay, 8.80188e-10, clock_period, 1.23457e-09, param->capNORInput, 0, param->capNOROutput, 0, param->DCIMline_R2, 0, param->DCIMline_R1, 0, param->DCIMline_C2, 0, param->DCIMline_C1, 0, param->resRow_DCIM, 0, param->resCol_DCIM, 0, param->Metal0_unitwireresis, 1.58691e+07, param->Metal1_unitwireresis, 1.06838e+07, columncap, 1.39955e-14, rowunitcap, 8.624e-17, caprow_debug, 4.86543e-14, numrow_debug, 256, reference_energy_peri, 3.11388e-14, resaccess, 30542.1, param->lengthRow, 0.000110387, TOPS, 0.829439, TOPS/W, 223.064, TOPS/mm^2, 67.7635, FOM, 15115.6, buffersizeratio, 10, switchsizeratio_DCIM, 0.005, sectionresistance, 1179.35, switchmatrix_finnum, 25, finfetonresistance, 292.269, repeaterfinnum, 0, repeaterdriveres, 0, sizingfactor_MUX, 130, sizingfactor_MUX_Last, 130, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 1, capratio, 0.228259. Power Density (W/mm2), 248237, 
technode, 10, toggleindex, 0, mem cell type, 1, buffernumber, 0, toggle index, 0, Totalsubarray operations, 817148, Average macro dynamic energy, 1.13153e-10, 1 Macro delay, 3.70744e-08, 1 Macro area (mm^2), 0.00645089, TOPS, 0.883845, TOPS/W, 289.591, TOPS/mm^2, 137.011, FOM, 39677.3, Total macro leakage, 1.27367e-06, Total DCIM (NOR+Latch) array leakage, 0, SRAM_peri_leakage, 0, ShiftAdd_leakage, 0, Adder_leakage, 0, Buffer_leakage, 0, Switchmatrix_leakage, 0, Repeater_leakage, 0, Bus_leakage, 1.00632e-07, readDynamicEnergyBuffer, 0, readDynamicEnergyShiftAdd, 0, readDynamicEnergyAccum, 1.70839e-12, readDynamicEnergySwitchmatrix, 0, readDynamicEnergyAdder, 0, readDynamicEnergyInterconnect, 0, readDynamicEnergyADC, 2.25787e-11, readDynamicEnergyDFFinShiftAdd, 0, DCIM_energy_recalculated, 1, DC_ADC_min, 1.44503e-15, DC_ADC_max, 1.4579e-15, Switching_ADC, 4.30939e-14, NOR_delay, 0, addertree_delay, 0, addedbufferlatency, 0, encoder_delay, 1.23528e-10, WL_delay, 1.17969e-10, mux_delay, 1.17969e-10, row_delay, 1.15509e-11, precharge_delay, 6.82735e-11, col_delay, 4.99136e-11, ADC_delay, 0, multisense_delay, 8.48803e-10, clock_period, 1.15857e-09, param->capNORInput, 0, param->capNOROutput, 0, param->DCIMline_R2, 0, param->DCIMline_R1, 0, param->DCIMline_C2, 0, param->DCIMline_C1, 0, param->resRow_DCIM, 0, param->resCol_DCIM, 0, param->Metal0_unitwireresis, 4.08058e+07, param->Metal1_unitwireresis, 1.58691e+07, columncap, 1.33837e-14, rowunitcap, 6.25e-17, caprow_debug, 4.09725e-14, numrow_debug, 256, reference_energy_peri, 2.30471e-14, resaccess, 26692.1, param->lengthRow, 8e-05, TOPS, 0.883845, TOPS/W, 289.591, TOPS/mm^2, 137.011, FOM, 39677.3, buffersizeratio, 10, switchsizeratio_DCIM, 0.02, sectionresistance, 1269.53, switchmatrix_finnum, 21, finfetonresistance, 304.08, repeaterfinnum, 0, repeaterdriveres, 0, sizingfactor_MUX, 80, sizingfactor_MUX_Last, 80, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 1, capratio, 0.224313. Power Density (W/mm2), 386609, 
technode, 7, toggleindex, 0, mem cell type, 1, buffernumber, 0, toggle index, 0, Totalsubarray operations, 817148, Average macro dynamic energy, 9.40813e-11, 1 Macro delay, 3.61749e-08, 1 Macro area (mm^2), 0.00496604, TOPS, 0.905821, TOPS/W, 348.295, TOPS/mm^2, 182.403, FOM, 63530, Total macro leakage, 1.39319e-06, Total DCIM (NOR+Latch) array leakage, 0, SRAM_peri_leakage, 0, ShiftAdd_leakage, 0, Adder_leakage, 0, Buffer_leakage, 0, Switchmatrix_leakage, 0, Repeater_leakage, 0, Bus_leakage, 1.11727e-07, readDynamicEnergyBuffer, 0, readDynamicEnergyShiftAdd, 0, readDynamicEnergyAccum, 1.51206e-12, readDynamicEnergySwitchmatrix, 0, readDynamicEnergyAdder, 0, readDynamicEnergyInterconnect, 0, readDynamicEnergyADC, 1.86841e-11, readDynamicEnergyDFFinShiftAdd, 0, DCIM_energy_recalculated, 1, DC_ADC_min, 1.19934e-15, DC_ADC_max, 1.20934e-15, Switching_ADC, 3.64391e-14, NOR_delay, 0, addertree_delay, 0, addedbufferlatency, 0, encoder_delay, 1.13557e-10, WL_delay, 1.24101e-10, mux_delay, 1.24101e-10, row_delay, 1.05757e-11, precharge_delay, 6.90151e-11, col_delay, 4.10514e-11, ADC_delay, 0, multisense_delay, 8.23793e-10, clock_period, 1.13047e-09, param->capNORInput, 0, param->capNOROutput, 0, param->DCIMline_R2, 0, param->DCIMline_R1, 0, param->DCIMline_C2, 0, param->DCIMline_C1, 0, param->resRow_DCIM, 0, param->resCol_DCIM, 0, param->Metal0_unitwireresis, 5.2125e+07, param->Metal1_unitwireresis, 2.43152e+07, columncap, 1.14278e-14, rowunitcap, 4.8202e-17, caprow_debug, 3.80669e-14, numrow_debug, 256, reference_energy_peri, 1.86528e-14, resaccess, 23861.3, param->lengthRow, 6.16986e-05, TOPS, 0.905821, TOPS/W, 348.295, TOPS/mm^2, 182.403, FOM, 63530, buffersizeratio, 10, switchsizeratio_DCIM, 0.04, sectionresistance, 1500.21, switchmatrix_finnum, 16, finfetonresistance, 363.74, repeaterfinnum, 0, repeaterdriveres, 0, sizingfactor_MUX, 60, sizingfactor_MUX_Last, 60, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 1, capratio, 0.270239. Power Density (W/mm2), 427943, 
technode, 5, toggleindex, 0, mem cell type, 1, buffernumber, 0, toggle index, 0, Totalsubarray operations, 817148, Average macro dynamic energy, 7.77221e-11, 1 Macro delay, 3.32088e-08, 1 Macro area (mm^2), 0.0037348, TOPS, 0.986727, TOPS/W, 421.605, TOPS/mm^2, 264.198, FOM, 111387, Total macro leakage, 1.33324e-06, Total DCIM (NOR+Latch) array leakage, 0, SRAM_peri_leakage, 0, ShiftAdd_leakage, 0, Adder_leakage, 0, Buffer_leakage, 0, Switchmatrix_leakage, 0, Repeater_leakage, 0, Bus_leakage, 1.06666e-07, readDynamicEnergyBuffer, 0, readDynamicEnergyShiftAdd, 0, readDynamicEnergyAccum, 1.22652e-12, readDynamicEnergySwitchmatrix, 0, readDynamicEnergyAdder, 0, readDynamicEnergyInterconnect, 0, readDynamicEnergyADC, 1.55459e-11, readDynamicEnergyDFFinShiftAdd, 0, DCIM_energy_recalculated, 1, DC_ADC_min, 7.97884e-16, DC_ADC_max, 8.03017e-16, Switching_ADC, 3.0147e-14, NOR_delay, 0, addertree_delay, 0, addedbufferlatency, 0, encoder_delay, 9.28241e-11, WL_delay, 1.1117e-10, mux_delay, 1.1117e-10, row_delay, 2.36358e-11, precharge_delay, 5.21932e-11, col_delay, 3.73823e-11, ADC_delay, 0, multisense_delay, 7.81587e-10, clock_period, 1.03777e-09, param->capNORInput, 0, param->capNOROutput, 0, param->DCIMline_R2, 0, param->DCIMline_R1, 0, param->DCIMline_C2, 0, param->DCIMline_C1, 0, param->resRow_DCIM, 0, param->resCol_DCIM, 0, param->Metal0_unitwireresis, 1.10667e+08, param->Metal1_unitwireresis, 8.61592e+07, columncap, 1.02298e-14, rowunitcap, 4.375e-17, caprow_debug, 3.21559e-14, numrow_debug, 256, reference_energy_peri, 1.57564e-14, resaccess, 23972.5, param->lengthRow, 5.6e-05, TOPS, 0.986727, TOPS/W, 421.605, TOPS/mm^2, 264.198, FOM, 111387, buffersizeratio, 10, switchsizeratio_DCIM, 0.015, sectionresistance, 4824.91, switchmatrix_finnum, 16, finfetonresistance, 356.733, repeaterfinnum, 0, repeaterdriveres, 0, sizingfactor_MUX, 50, sizingfactor_MUX_Last, 50, switchmatrixsizeratio_ACIM, 0.06, newswitchmatrixsizeratio_ACIM, 1, capratio, 0.246094. Power Density (W/mm2), 512066, 
technode, 3, toggleindex, 0, mem cell type, 1, buffernumber, 0, toggle index, 0, Totalsubarray operations, 817148, Average macro dynamic energy, 7.14911e-11, 1 Macro delay, 3.30321e-08, 1 Macro area (mm^2), 0.00323754, TOPS, 0.992004, TOPS/W, 458.351, TOPS/mm^2, 306.407, FOM, 140442, Total macro leakage, 1.37084e-06, Total DCIM (NOR+Latch) array leakage, 0, SRAM_peri_leakage, 0, ShiftAdd_leakage, 0, Adder_leakage, 0, Buffer_leakage, 0, Switchmatrix_leakage, 0, Repeater_leakage, 0, Bus_leakage, 1.10141e-07, readDynamicEnergyBuffer, 0, readDynamicEnergyShiftAdd, 0, readDynamicEnergyAccum, 1.08357e-12, readDynamicEnergySwitchmatrix, 0, readDynamicEnergyAdder, 0, readDynamicEnergyInterconnect, 0, readDynamicEnergyADC, 1.39613e-11, readDynamicEnergyDFFinShiftAdd, 0, DCIM_energy_recalculated, 1, DC_ADC_min, 6.75818e-16, DC_ADC_max, 6.79851e-16, Switching_ADC, 2.69596e-14, NOR_delay, 0, addertree_delay, 0, addedbufferlatency, 0, encoder_delay, 7.93349e-11, WL_delay, 1.48975e-10, mux_delay, 1.48975e-10, row_delay, 2.19041e-11, precharge_delay, 6.39455e-11, col_delay, 3.3091e-11, ADC_delay, 0, multisense_delay, 7.39999e-10, clock_period, 1.03225e-09, param->capNORInput, 0, param->capNOROutput, 0, param->DCIMline_R2, 0, param->DCIMline_R1, 0, param->DCIMline_C2, 0, param->DCIMline_C1, 0, param->resRow_DCIM, 0, param->resCol_DCIM, 0, param->Metal0_unitwireresis, 2.01389e+08, param->Metal1_unitwireresis, 9.72656e+07, columncap, 9.19296e-15, rowunitcap, 4.0956e-17, caprow_debug, 2.90632e-14, numrow_debug, 256, reference_energy_peri, 1.4241e-14, resaccess, 23121.7, param->lengthRow, 5.24237e-05, TOPS, 0.992004, TOPS/W, 458.351, TOPS/mm^2, 306.407, FOM, 140442, buffersizeratio, 10, switchsizeratio_DCIM, 0.03, sectionresistance, 5099.02, switchmatrix_finnum, 29, finfetonresistance, 180.075, repeaterfinnum, 0, repeaterdriveres, 0, sizingfactor_MUX, 25, sizingfactor_MUX_Last, 25, switchmatrixsizeratio_ACIM, 0.03, newswitchmatrixsizeratio_ACIM, 1, capratio, 0.242807. Power Density (W/mm2), 546263, 
technode, 2, toggleindex, 0, mem cell type, 1, buffernumber, 3, toggle index, 0, Totalsubarray operations, 817148, Average macro dynamic energy, 6.45066e-11, 1 Macro delay, 3.27499e-08, 1 Macro area (mm^2), 0.00362257, TOPS, 1.00055, TOPS/W, 507.979, TOPS/mm^2, 276.2, FOM, 140304, Total macro leakage, 1.2045e-06, Total DCIM (NOR+Latch) array leakage, 0, SRAM_peri_leakage, 0, ShiftAdd_leakage, 0, Adder_leakage, 0, Buffer_leakage, 0, Switchmatrix_leakage, 0, Repeater_leakage, 0, Bus_leakage, 4.29283e-08, readDynamicEnergyBuffer, 0, readDynamicEnergyShiftAdd, 0, readDynamicEnergyAccum, 5.60837e-13, readDynamicEnergySwitchmatrix, 0, readDynamicEnergyAdder, 0, readDynamicEnergyInterconnect, 0, readDynamicEnergyADC, 1.40508e-11, readDynamicEnergyDFFinShiftAdd, 0, DCIM_energy_recalculated, 1, DC_ADC_min, 9.46829e-16, DC_ADC_max, 9.53647e-16, Switching_ADC, 2.0028e-14, NOR_delay, 0, addertree_delay, 0, addedbufferlatency, 7.94853e-11, encoder_delay, 8.45546e-11, WL_delay, 1.50898e-10, mux_delay, 1.50898e-10, row_delay, 9.46979e-11, precharge_delay, 5.73667e-11, col_delay, 2.7963e-11, ADC_delay, 0, multisense_delay, 7.30614e-10, clock_period, 1.02343e-09, param->capNORInput, 0, param->capNOROutput, 0, param->DCIMline_R2, 0, param->DCIMline_R1, 0, param->DCIMline_C2, 0, param->DCIMline_C1, 0, param->resRow_DCIM, 0, param->resCol_DCIM, 0, param->Metal0_unitwireresis, 3.305e+08, param->Metal1_unitwireresis, 2.49905e+08, columncap, 8.25088e-15, rowunitcap, 1.2774e-16, caprow_debug, 3.27014e-14, numrow_debug, 256, reference_energy_peri, 1.38164e-14, resaccess, 19386.8, param->lengthRow, 6.144e-05, TOPS, 1.00055, TOPS/W, 507.979, TOPS/mm^2, 276.2, FOM, 140304, buffersizeratio, 10, switchsizeratio_DCIM, 0.03, sectionresistance, 3838.55, switchmatrix_finnum, 11, finfetonresistance, 445.06, repeaterfinnum, 10, repeaterdriveres, 1938.68, sizingfactor_MUX, 25, sizingfactor_MUX_Last, 25, switchmatrixsizeratio_ACIM, 0.1, newswitchmatrixsizeratio_ACIM, 1, capratio, 0.149078. Power Density (W/mm2), 444303, 
technode, 1, toggleindex, 0, mem cell type, 1, buffernumber, 3, toggle index, 0, Totalsubarray operations, 817148, Average macro dynamic energy, 4.46587e-11, 1 Macro delay, 3.0774e-08, 1 Macro area (mm^2), 0.00252517, TOPS, 1.0648, TOPS/W, 733.743, TOPS/mm^2, 421.672, FOM, 309399, Total macro leakage, 1.70553e-06, Total DCIM (NOR+Latch) array leakage, 0, SRAM_peri_leakage, 0, ShiftAdd_leakage, 0, Adder_leakage, 0, Buffer_leakage, 0, Switchmatrix_leakage, 0, Repeater_leakage, 0, Bus_leakage, 8.18517e-08, readDynamicEnergyBuffer, 0, readDynamicEnergyShiftAdd, 0, readDynamicEnergyAccum, 4.78082e-13, readDynamicEnergySwitchmatrix, 0, readDynamicEnergyAdder, 0, readDynamicEnergyInterconnect, 0, readDynamicEnergyADC, 9.42112e-12, readDynamicEnergyDFFinShiftAdd, 0, DCIM_energy_recalculated, 1, DC_ADC_min, 8.31685e-16, DC_ADC_max, 8.37237e-16, Switching_ADC, 1.47618e-14, NOR_delay, 0, addertree_delay, 0, addedbufferlatency, 6.41241e-11, encoder_delay, 7.63076e-11, WL_delay, 1.16014e-10, mux_delay, 1.16014e-10, row_delay, 7.32674e-11, precharge_delay, 5.95779e-11, col_delay, 3.07679e-11, ADC_delay, 0, multisense_delay, 7.09788e-10, clock_period, 9.61687e-10, param->capNORInput, 0, param->capNOROutput, 0, param->DCIMline_R2, 0, param->DCIMline_R1, 0, param->DCIMline_C2, 0, param->DCIMline_C1, 0, param->resRow_DCIM, 0, param->resCol_DCIM, 0, param->Metal0_unitwireresis, 4.09896e+08, param->Metal1_unitwireresis, 3.305e+08, columncap, 7.70304e-15, rowunitcap, 9.574e-17, caprow_debug, 2.45094e-14, numrow_debug, 256, reference_energy_peri, 8.8234e-15, resaccess, 20845.6, param->lengthRow, 3.6864e-05, TOPS, 1.0648, TOPS/W, 733.743, TOPS/mm^2, 421.672, FOM, 309399, buffersizeratio, 8, switchsizeratio_DCIM, 0.024, sectionresistance, 3045.89, switchmatrix_finnum, 14, finfetonresistance, 363.163, repeaterfinnum, 8, repeaterdriveres, 2605.7, sizingfactor_MUX, 30, sizingfactor_MUX_Last, 30, switchmatrixsizeratio_ACIM, 0.1, newswitchmatrixsizeratio_ACIM, 1, capratio, 0.175786. Power Density (W/mm2), 469603, 
technode, 22, toggleindex, 0, mem cell type, 4, buffernumber, 0, toggle index, 0, Totalsubarray operations, 817148, Average macro dynamic energy, 3.53083e-10, 1 Macro delay, 5.72495e-09, 1 Macro area (mm^2), 0.190279, TOPS, 5.72371, TOPS/W, 92.8054, TOPS/mm^2, 30.0806, FOM, 2791.65, Total macro leakage, 1.19167e-05, Total DCIM (NOR+Latch) array leakage, 7.92986e-07, SRAM_peri_leakage, 5.70213e-08, ShiftAdd_leakage, 1.38612e-07, Adder_leakage, 1.08836e-05, Buffer_leakage, 2.66482e-08, Switchmatrix_leakage, 1.77654e-08, Repeater_leakage, 0, Bus_leakage, 5.66273e-08, readDynamicEnergyBuffer, 5.41805e-13, readDynamicEnergyShiftAdd, 3.10476e-12, readDynamicEnergyAccum, 7.81383e-11, readDynamicEnergySwitchmatrix, 1.47622e-12, readDynamicEnergyAdder, 7.44917e-11, readDynamicEnergyInterconnect, 8.65619e-12, readDynamicEnergyADC, 0, readDynamicEnergyDFFinShiftAdd, 9.03008e-13, DCIM_energy_recalculated, 1, DC_ADC_min, 0, DC_ADC_max, 0, Switching_ADC, 0, NOR_delay, 7.37137e-12, addertree_delay, 1.08867e-09, addedbufferlatency, 0, encoder_delay, 0, WL_delay, 4.89464e-11, mux_delay, 0, row_delay, 0, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, clock_period, 1.14499e-09, param->capNORInput, 2.2892e-16, param->capNOROutput, 1.16131e-16, param->DCIMline_R2, 153.463, param->DCIMline_R1, 24.5025, param->DCIMline_C2, 3.1416e-15, param->DCIMline_C1, 1.41728e-15, param->resRow_DCIM, 9.76974e+06, param->resCol_DCIM, 9.76974e+06, param->Metal0_unitwireresis, 9.76974e+06, param->Metal1_unitwireresis, 9.76974e+06, columncap, 0, rowunitcap, 0, caprow_debug, 0, numrow_debug, 0, reference_energy_peri, 0, resaccess, 0, param->lengthRow, 0.000160512, TOPS, 5.72371, TOPS/W, 92.8054, TOPS/mm^2, 30.0806, FOM, 2791.65, buffersizeratio, 5, switchsizeratio_DCIM, 0.06, sectionresistance, 2323.19, switchmatrix_finnum, 17.5009, finfetonresistance, 139.391, repeaterfinnum, 0, repeaterdriveres, 0, sizingfactor_MUX, 110, sizingfactor_MUX_Last, 110, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 14, capratio, -nan. Power Density (W/mm2), 264859, 
technode, 14, toggleindex, 0, mem cell type, 4, buffernumber, 0, toggle index, 0, Totalsubarray operations, 817148, Average macro dynamic energy, 1.71423e-10, 1 Macro delay, 5.62229e-09, 1 Macro area (mm^2), 0.167273, TOPS, 5.82823, TOPS/W, 191.152, TOPS/mm^2, 34.8427, FOM, 6660.26, Total macro leakage, 7.66657e-06, Total DCIM (NOR+Latch) array leakage, 2.12151e-06, SRAM_peri_leakage, 8.11032e-08, ShiftAdd_leakage, 1.10973e-07, Adder_leakage, 5.27673e-06, Buffer_leakage, 4.57474e-08, Switchmatrix_leakage, 3.04983e-08, Repeater_leakage, 0, Bus_leakage, 9.72132e-08, readDynamicEnergyBuffer, 4.32756e-13, readDynamicEnergyShiftAdd, 1.65357e-12, readDynamicEnergyAccum, 3.04896e-11, readDynamicEnergySwitchmatrix, 4.52457e-12, readDynamicEnergyAdder, 2.84032e-11, readDynamicEnergyInterconnect, 7.84172e-12, readDynamicEnergyADC, 0, readDynamicEnergyDFFinShiftAdd, 7.2126e-13, DCIM_energy_recalculated, 1, DC_ADC_min, 0, DC_ADC_max, 0, Switching_ADC, 0, NOR_delay, 7.12177e-12, addertree_delay, 1.04795e-09, addedbufferlatency, 0, encoder_delay, 0, WL_delay, 6.93859e-11, mux_delay, 0, row_delay, 0, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, clock_period, 1.12446e-09, param->capNORInput, 3.11448e-16, param->capNOROutput, 2.49581e-17, param->DCIMline_R2, 232.557, param->DCIMline_R1, 37.1309, param->DCIMline_C2, 2.93093e-15, param->DCIMline_C1, 1.71376e-15, param->resRow_DCIM, 1.58691e+07, param->resCol_DCIM, 1.06838e+07, param->Metal0_unitwireresis, 1.58691e+07, param->Metal1_unitwireresis, 1.06838e+07, columncap, 0, rowunitcap, 0, caprow_debug, 0, numrow_debug, 0, reference_energy_peri, 0, resaccess, 0, param->lengthRow, 0.000149748, TOPS, 5.82823, TOPS/W, 191.152, TOPS/mm^2, 34.8427, FOM, 6660.26, buffersizeratio, 0, switchsizeratio_DCIM, 0.005, sectionresistance, 3520.55, switchmatrix_finnum, 84, finfetonresistance, 86.9847, repeaterfinnum, 0, repeaterdriveres, 0, sizingfactor_MUX, 130, sizingfactor_MUX_Last, 130, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 1, capratio, -nan. Power Density (W/mm2), 148947, 
technode, 10, toggleindex, 0, mem cell type, 4, buffernumber, 1, toggle index, 0, Totalsubarray operations, 817148, Average macro dynamic energy, 1.31698e-10, 1 Macro delay, 4.94051e-09, 1 Macro area (mm^2), 0.0786432, TOPS, 6.63252, TOPS/W, 248.811, TOPS/mm^2, 84.3368, FOM, 20984, Total macro leakage, 8.53324e-06, Total DCIM (NOR+Latch) array leakage, 2.646e-06, SRAM_peri_leakage, 9.34467e-08, ShiftAdd_leakage, 1.17571e-07, Adder_leakage, 5.17948e-06, Buffer_leakage, 5.13866e-08, Switchmatrix_leakage, 3.42577e-08, Repeater_leakage, 4.11093e-07, Bus_leakage, 1.09197e-07, readDynamicEnergyBuffer, 3.5658e-13, readDynamicEnergyShiftAdd, 1.33487e-12, readDynamicEnergyAccum, 2.51595e-11, readDynamicEnergySwitchmatrix, 1.18138e-12, readDynamicEnergyAdder, 2.34681e-11, readDynamicEnergyInterconnect, 6.58364e-12, readDynamicEnergyADC, 0, readDynamicEnergyDFFinShiftAdd, 5.943e-13, DCIM_energy_recalculated, 1, DC_ADC_min, 0, DC_ADC_max, 0, Switching_ADC, 0, NOR_delay, 5.83093e-12, addertree_delay, 8.59184e-10, addedbufferlatency, 8.13042e-11, encoder_delay, 0, WL_delay, 4.17826e-11, mux_delay, 0, row_delay, 0, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, clock_period, 9.88102e-10, param->capNORInput, 2.92647e-16, param->capNOROutput, 2.2512e-17, param->DCIMline_R2, 490.7, param->DCIMline_R1, 78.3471, param->DCIMline_C2, 2.40505e-15, param->DCIMline_C1, 1.55459e-15, param->resRow_DCIM, 4.08058e+07, param->resCol_DCIM, 1.58691e+07, param->Metal0_unitwireresis, 4.08058e+07, param->Metal1_unitwireresis, 1.58691e+07, columncap, 0, rowunitcap, 0, caprow_debug, 0, numrow_debug, 0, reference_energy_peri, 0, resaccess, 0, param->lengthRow, 0.00012288, TOPS, 6.63252, TOPS/W, 248.811, TOPS/mm^2, 84.3368, FOM, 20984, buffersizeratio, 18, switchsizeratio_DCIM, 0.02, sectionresistance, 3714.22, switchmatrix_finnum, 18, finfetonresistance, 354.76, repeaterfinnum, 18, repeaterdriveres, 1482.89, sizingfactor_MUX, 80, sizingfactor_MUX_Last, 80, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 1, capratio, -nan. Power Density (W/mm2), 276980, 
